artifact_id	parent_corpus_database_id	artifact_role	candidate_parser_family	file_type	file_name	raw_url	source_local_path	mirror_status	mirror_local_path	mirror_sha256	mirror_byte_size	sample_status	sample_path	sample_kind	sample_error
source_artifact_73fafbeddc2efefc	corpus_db_loopr_coding_workbook	data_file	xlsx_workbook_parser	xlsx	Replication coding and results.xlsx		data/raw/replication_projects/loopr/Replication coding and results.xlsx	already_local	data/raw/replication_projects/loopr/Replication coding and results.xlsx	f856cddcfb022b260e79b054beac19bfdd867a1f4eb634b50fbdd6ef8c0abe7f	147376	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_73fafbeddc2efefc.json	excel_workbook	
source_artifact_9e10c4f0b02683e1	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	FigureData.csv		data/raw/replication_projects/ml5/FigureData.csv	already_local	data/raw/replication_projects/ml5/FigureData.csv	844a5c3ab9ad8fc13b070b4ff052d38288bd5016eb5cf386efaa5999a58abb03	10816	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_9e10c4f0b02683e1.json	delimited_table	
source_artifact_8eb495f7ea934a15	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	ML5 Combined MetaAnalyses.csv		data/raw/replication_projects/ml5/ML5 Combined MetaAnalyses.csv	already_local	data/raw/replication_projects/ml5/ML5 Combined MetaAnalyses.csv	065c70ca0959a1d2e96f0160c98640e5f853b064b6539a5b4cb67b273d0de801	601	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_8eb495f7ea934a15.json	delimited_table	
source_artifact_ad41e3e4675d423d	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	ML5FigureData.csv		data/raw/replication_projects/ml5/ML5FigureData.csv	already_local	data/raw/replication_projects/ml5/ML5FigureData.csv	a7bc4b87963c0b269c47ff18f1e6c057fcf29f88e6b5cc1fc3386002225442a4	2211	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_ad41e3e4675d423d.json	delimited_table	
source_artifact_56c9b0161d204122	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	PredictionMarketSummary.csv		data/raw/replication_projects/ml5/PredictionMarketSummary.csv	already_local	data/raw/replication_projects/ml5/PredictionMarketSummary.csv	e7ff3f54bc6a179e9059a8049338aa89938ca6d0559886b901c54fa67a1c6106	2025	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_56c9b0161d204122.json	delimited_table	
source_artifact_5863ceb660c91b8e	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	Summary Effect Sizes - Interaction Effects.csv		data/raw/replication_projects/ml5/Summary Effect Sizes - Interaction Effects.csv	already_local	data/raw/replication_projects/ml5/Summary Effect Sizes - Interaction Effects.csv	d9b66b9120c132d395b55b7d5c0d0376ca2cf3a9fa4256f3d53f76711264ce34	394	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_5863ceb660c91b8e.json	delimited_table	
source_artifact_ce4fb8da523b4a52	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	Summary Effect Sizes - Single Effects (including Orig and RPP).csv		data/raw/replication_projects/ml5/Summary Effect Sizes - Single Effects (including Orig and RPP).csv	already_local	data/raw/replication_projects/ml5/Summary Effect Sizes - Single Effects (including Orig and RPP).csv	c8f1d303f400f9d8bf65abdfc0632d9fb847d5f990b539fe250c4319913604d8	11678	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_ce4fb8da523b4a52.json	delimited_table	
source_artifact_3dd183ce1ea97756	corpus_db_many_labs_5_overarching_analyses	data_file	csv_table_parser	csv	Summary Effect Sizes - Single Effects.csv		data/raw/replication_projects/ml5/Summary Effect Sizes - Single Effects.csv	already_local	data/raw/replication_projects/ml5/Summary Effect Sizes - Single Effects.csv	0c28b30f26398a88164f80bcc747e64169685a6c3412578cfef280eeab1a1d7f	7066	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_3dd183ce1ea97756.json	delimited_table	
source_artifact_3cb25fc2113d4602	corpus_db_sports_science_supplemental_outcomes_table	local_mirror	json_metadata_inventory	json	sports_sfbva_node.json		data/raw/replication_projects/osf_probe/sports_sfbva_node.json	already_local	data/raw/replication_projects/osf_probe/sports_sfbva_node.json	d34b43410ad0092042a3364fad96dd0dea57f9990d0c2f4c713fd10ad13cf999	4756	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_3cb25fc2113d4602.json	json_object	
source_artifact_47f0cd0abd2d5a6e	family::ying_2023_pilot_full_scale_trials	local_mirror	json_metadata_inventory	json	001_full_10_1080_14622200601078525.json		data/raw/replication_projects/lead_harvest/ying_2023/epmc_abstracts/001_full_10_1080_14622200601078525.json	already_local	data/raw/replication_projects/lead_harvest/ying_2023/epmc_abstracts/001_full_10_1080_14622200601078525.json	e9287f8f07c93fc9ca1678edd54b290f879d4ab626cceec294ef18ffdd77281c	8605	sampled	steps/source_inventory/figure1/mirror_sample/artifact_samples/source_artifact_47f0cd0abd2d5a6e.json	json_object	
